ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ayan,1,1771486092856,-0.71595,5.98305,8.57595,10.94278,9.72954,-6.7831
Ayan,2,1771486092864,-1.40505,5.928,7.812,16.43386,-2.11135,-9.40654
Ayan,3,1771486092869,-1.40505,5.928,7.812,17.22956,-3.39549,-9.71378
Ayan,4,1771486092880,-1.47705,5.67,7.23,16.37084,-3.33247,-10.08406
Ayan,5,1771486092899,-1.18995,6.12705,7.263,6.67281,4.17543,-11.73059
Ayan,6,1771486092916,-0.97395,6.12,7.66095,0.07878,11.86452,-13.19593
Ayan,7,1771486092933,-0.97395,6.12,7.66095,-3.27732,18.88397,-13.55833
Ayan,8,1771486092948,-1.40505,5.631,7.524,-7.55517,24.8635,-6.84613
Ayan,9,1771486092964,-1.60905,5.94,7.467,-10.35979,24.92653,-2.93856
Ayan,10,1771486092981,-1.30905,5.90205,7.63905,-9.31987,17.54468,-6.97218
Ayan,11,1771486092995,-1.88595,5.89005,7.62,-8.83143,11.92755,-9.95801
Ayan,12,1771486093012,-1.88595,5.89005,7.62,-10.11557,6.12922,-10.20223
Ayan,13,1771486093031,-2.08995,5.856,7.59405,-15.42546,1.18173,-10.44645
Ayan,14,1771486093046,-1.93695,5.799,7.21305,-20.30992,2.46587,-9.35139
Ayan,15,1771486093063,-1.965,5.63895,7.077,-24.39869,-1.93015,-6.05043
Ayan,16,1771486093079,-2.03205,5.63895,7.371,-25.68283,0.39391,-0.0709
Ayan,17,1771486093097,-2.15895,5.04705,8.22795,-23.11455,3.08036,3.2852
Ayan,18,1771486093112,-2.15895,5.04705,8.22795,-22.26371,1.61502,5.72743
Ayan,19,1771486093127,-2.08005,5.31795,8.66895,-20.42809,2.95431,6.15285
Ayan,20,1771486093144,-1.66905,5.22705,8.93895,-18.04889,1.61502,4.01787
Ayan,21,1771486093160,-1.67295,5.14995,8.892,-13.65287,-1.13446,1.75683
Ayan,22,1771486093179,-1.93905,5.088,8.58705,-5.78258,-3.69486,2.4895
Ayan,23,1771486093193,-1.93905,5.088,8.58705,-0.89811,-5.1602,4.68751
Ayan,24,1771486093211,-1.956,5.14095,8.19705,0.56723,-7.24004,6.39707
Ayan,25,1771486093226,-1.77105,5.313,7.989,-0.29149,-5.71167,6.6413
Ayan,26,1771486093241,-1.455,5.409,8.74995,3.19066,2.15862,5.35716
Ayan,27,1771486093260,-1.43595,5.595,8.87505,5.63289,-0.33876,3.59245
Ayan,28,1771486093277,-1.60605,5.682,8.12295,6.12134,-2.71797,3.34822
Ayan,29,1771486093290,-1.60605,5.682,8.12295,3.49791,-3.88394,4.01787
Ayan,30,1771486093307,-1.803,5.75595,7.19595,-3.89182,-5.04203,6.57827
Ayan,31,1771486093323,-1.53,5.742,7.23705,-12.98322,-1.49685,7.61819
Ayan,32,1771486093339,-1.242,5.727,7.69005,-17.56044,-1.68593,5.17596
Ayan,33,1771486093356,-1.242,5.727,7.69005,-21.34984,0.9375,1.26839
Ayan,34,1771486093371,-0.94995,5.68605,7.89105,-24.21749,3.93121,-3.30883
Ayan,35,1771486093395,-1.09905,5.34405,8.52495,-19.64028,3.13551,-8.91809
Ayan,36,1771486093404,-1.36395,5.07405,8.83605,-15.24426,3.62396,-9.83983
Ayan,37,1771486093422,-1.41195,5.16,8.46795,-11.15549,7.10611,-10.7537
Ayan,38,1771486093437,-1.41195,5.16,8.46795,-9.9974,10.83248,-10.08406
Ayan,39,1771486093454,-1.67595,5.22705,8.75505,-15.00003,3.56881,-11.30517
Ayan,40,1771486093469,-1.73595,5.21205,8.41995,-18.78156,2.04045,-13.73953
Ayan,41,1771486093489,-1.90305,4.935,8.77395,-17.62347,1.42595,-14.291
Ayan,42,1771486093503,-2.31495,4.71,9.18405,-14.33039,0.81933,-11.91179
Ayan,43,1771486093519,-2.25495,4.791,8.83605,-12.31358,0.33088,-5.93226
Ayan,44,1771486093535,-2.25495,4.791,8.83605,-14.26737,-0.51996,-3.30883
Ayan,45,1771486093552,-1.95795,4.68105,8.559,-15.00003,3.44276,-4.2227
Ayan,46,1771486093570,-1.84995,4.67595,8.52,-17.00897,6.06619,-6.35768
Ayan,47,1771486093584,-2.214,4.686,8.913,-14.02314,4.23846,-4.34087
Ayan,48,1771486093601,-2.20995,4.71195,9.04695,-9.93437,0.14969,-1.96166
Ayan,49,1771486093617,-2.20995,4.71195,9.04695,-4.38026,-2.4186,-1.0478
Ayan,50,1771486093633,-1.82895,4.69005,9.25095,4.34875,-1.07143,-1.71744
Ayan,51,1771486093649,-1.85505,4.74105,9.23205,12.83354,-3.15127,-2.87553
Ayan,52,1771486093665,-2.13105,4.76505,8.856,15.27577,-3.63971,-1.47322
Ayan,53,1771486093682,-2.11395,4.719,8.46105,15.82724,-1.55988,0.90599
Ayan,54,1771486093697,-2.11395,4.719,8.46105,12.95171,0.33088,2.19013
Ayan,55,1771486093714,-1.944,4.86,8.20395,8.74477,1.79622,2.73372
Ayan,56,1771486093731,-1.97295,4.755,8.16795,3.8603,3.86818,2.79675
Ayan,57,1771486093746,-2.06805,4.65495,8.22405,0.81145,3.86818,2.43435
Ayan,58,1771486093763,-2.061,4.59195,8.355,-0.16544,3.08036,2.37133
Ayan,59,1771486093779,-2.061,4.59195,8.355,-0.34664,2.77312,2.37133
Ayan,60,1771486093796,-1.99395,4.638,8.358,1.23687,1.48897,1.70168
Ayan,61,1771486093811,-1.956,4.71,8.358,2.39496,0.51208,0.41754
Ayan,62,1771486093830,-1.97505,4.83405,8.23095,1.96954,-0.70904,0.17332
Ayan,63,1771486093846,-2.01105,4.92,8.16105,0.14181,0.21271,0.90599
Ayan,64,1771486093860,-1.992,4.944,8.23305,-3.40337,1.7332,1.21324
Ayan,65,1771486093875,-1.992,4.944,8.23305,-4.98688,3.81303,1.08719
Ayan,66,1771486093895,-2.03205,4.85295,8.41695,-4.98688,4.66388,1.15021
Ayan,67,1771486093909,-2.22195,4.72905,8.61105,-3.71062,3.75001,1.26839
Ayan,68,1771486093926,-2.32695,4.63995,8.496,-3.52154,1.18173,1.51261
Ayan,69,1771486093941,-2.26905,4.63995,8.32695,-3.58457,0.51208,2.00106
Ayan,70,1771486093959,-2.26905,4.63995,8.32695,-2.78887,0.7563,2.24528
Ayan,71,1771486093974,-2.16705,4.686,8.28105,-2.11923,0.9375,2.37133
Ayan,72,1771486093991,-2.04705,4.73805,8.10405,-2.30043,2.46587,1.57563
Ayan,73,1771486094010,-2.10705,4.803,8.19,-1.56776,2.22164,1.15021
