ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771516150512,-2.27805,8.02605,7.52205,-2.98583,4.63236,-3.04885
yogesh ,2,1771516150517,-2.27805,8.02605,7.52205,-5.60926,5.79045,-2.80463
yogesh ,3,1771516150523,-2.41995,6.94095,6.30105,-8.16966,3.47427,-2.74948
yogesh ,4,1771516150534,-2.41995,6.94095,6.30105,-15.23638,-13.29047,-2.19801
yogesh ,5,1771516150545,-2.50605,5.64405,6.12795,-16.03207,-28.71593,-1.77259
yogesh ,6,1771516150557,-2.50605,5.64405,6.12795,-14.75581,-44.51166,-1.22112
yogesh ,7,1771516150570,-1.95795,5.361,5.40495,-13.5347,-56.70707,-0.24422
yogesh ,8,1771516150583,-1.644,5.313,5.20395,-8.89445,-62.49752,1.33929
yogesh ,9,1771516150594,-1.644,5.313,5.20395,-3.16702,-57.37671,1.89076
yogesh ,10,1771516150604,-1.69395,5.31105,4.80195,2.01681,-46.40242,2.00893
yogesh ,11,1771516150615,-1.69395,5.31105,4.80195,2.37921,-30.36246,0.48845
yogesh ,12,1771516150626,-1.82295,5.11695,3.86805,-2.56041,-25.36771,-0.73267
yogesh ,13,1771516150637,-1.82295,5.11695,3.86805,-8.95748,-25.24166,-0.66964
yogesh ,14,1771516150649,-2.50605,4.93305,3.50895,-15.29941,-31.58358,1.94591
yogesh ,15,1771516150660,-2.50605,4.93305,3.50895,-20.97169,-45.5437,4.14392
yogesh ,16,1771516150671,-2.53905,4.677,3.35595,-24.38293,-71.28168,0.42542
yogesh ,17,1771516150681,-3.23595,4.57395,4.95,-20.30204,-81.8857,-4.1518
yogesh ,18,1771516150693,-3.23595,4.57395,4.95,-16.39447,-78.65565,-8.53994
yogesh ,19,1771516150703,-5.58705,4.42305,5.082,-14.07829,-63.04899,-5.06566
yogesh ,20,1771516150713,-5.58705,4.42305,5.082,-15.54363,-41.8252,5.54623
yogesh ,21,1771516150726,-5.58,4.746,4.914,-21.88556,-9.20958,23.46907
yogesh ,22,1771516150738,-5.58,4.746,4.914,-22.12978,8.65811,32.85984
yogesh ,23,1771516150748,-4.13595,4.82295,6.28605,-19.32515,21.71224,36.88559
yogesh ,24,1771516150759,-4.13595,4.82295,6.28605,-17.31622,30.91394,36.21594
yogesh ,25,1771516150768,-2.532,4.26,5.79495,-18.52946,35.42813,31.33936
yogesh ,26,1771516150777,-2.532,4.26,5.79495,-21.88556,35.91658,22.50005
yogesh ,27,1771516150789,-0.66,4.20495,5.61795,-28.29051,34.87666,1.94591
yogesh ,28,1771516150800,-0.01305,4.45905,5.23305,-37.86248,37.87036,-12.38448
yogesh ,29,1771516150811,-0.01305,4.45905,5.23305,-51.6414,45.30735,-22.6261
yogesh ,30,1771516150821,-0.89205,3.90795,6.471,-63.83681,51.94865,-28.29839
yogesh ,31,1771516150833,-0.89205,3.90795,6.471,-69.93451,51.94865,-33.17497
yogesh ,32,1771516150843,-0.22905,4.533,7.58205,-71.58105,42.68392,-40.61197
yogesh ,33,1771516150854,-0.22905,4.533,7.58205,-73.40878,38.9024,-45.0001
yogesh ,34,1771516150865,0.48105,5.07195,6.909,-82.31111,40.18655,-48.11198
yogesh ,35,1771516150878,0.48105,5.07195,6.909,-98.77649,46.04002,-48.66346
yogesh ,36,1771516150888,-0.23895,4.99005,6.234,-121.39471,54.08363,-46.95389
yogesh ,37,1771516150899,-1.15995,4.99305,8.64495,-151.21359,65.00278,-44.70073
yogesh ,38,1771516150911,-1.15995,4.99305,8.64495,-158.65059,69.76119,-41.03738
yogesh ,39,1771516150923,-1.728,4.62405,14.472,-140.90895,72.37674,-30.97696
yogesh ,40,1771516150934,-1.728,4.62405,14.472,-115.73032,82.25597,-25.85615
yogesh ,41,1771516150948,-2.11995,5.649,8.93205,-121.63893,57.07734,-15.73271
yogesh ,42,1771516150956,-2.11995,5.649,8.93205,-158.53241,21.76738,-7.25579
yogesh ,43,1771516150966,-3.43695,4.68405,5.96805,-204.32822,-19.4512,4.20694
yogesh ,44,1771516150977,-3.43695,4.68405,5.96805,-250.24217,-60.24437,18.59248
yogesh ,45,1771516150989,-2.32395,3.027,10.25805,-279.80893,-121.03232,34.99483
yogesh ,46,1771516150999,0.91905,1.203,26.56005,-244.87715,-129.99768,37.74431
yogesh ,47,1771516151011,0.91905,1.203,26.56005,-176.64432,-98.96557,42.98329
