ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771510439720,-0.17895,3.42405,7.692,7.64182,9.15443,-31.11089
yogesh ,2,1771510439732,-0.17895,3.42405,7.692,-1.56776,19.82148,-32.15081
yogesh ,3,1771510439743,-1.25805,4.10205,6.633,-11.62818,28.23536,-29.28316
yogesh ,4,1771510439755,-2.70705,4.65,7.29405,-22.78367,30.30732,-16.7805
yogesh ,5,1771510439771,-2.70705,4.65,7.29405,-24.37506,27.93599,-8.18542
yogesh ,6,1771510439782,-3.32505,4.52595,8.30895,-20.10509,10.80097,8.5872
yogesh ,7,1771510439793,-3.32505,4.52595,8.30895,-15.28365,-1.45746,17.67073
yogesh ,8,1771510439803,-1.69695,4.044,8.90805,-11.8724,-16.33932,22.72852
yogesh ,9,1771510439813,-1.69695,4.044,8.90805,-8.45328,-28.96015,22.67337
yogesh ,10,1771510439825,1.00305,3.60105,9.65505,-3.45852,-38.4691,17.73376
yogesh ,11,1771510439835,1.00305,3.60105,9.65505,1.85137,-44.93708,8.03573
yogesh ,12,1771510439844,2.74905,3.225,9.94905,6.53888,-46.33939,-2.08771
yogesh ,13,1771510439859,2.74605,2.67195,9.53505,7.2164,-39.20177,-15.55938
yogesh ,14,1771510439869,2.74605,2.67195,9.53505,4.41178,-31.88295,-24.21749
yogesh ,15,1771510439879,1.85295,2.64405,9.16395,-0.28361,-23.71329,-31.71751
yogesh ,16,1771510439891,1.85295,2.64405,9.16395,-7.35821,-13.96012,-33.24588
yogesh ,17,1771510439902,-0.15,3.43605,9.435,-13.58196,-0.96901,-28.06204
yogesh ,18,1771510439913,-0.15,3.43605,9.435,-13.09352,5.19171,-24.21749
yogesh ,19,1771510439924,-0.93,3.91695,10.25805,-8.45328,6.83825,-21.16864
yogesh ,20,1771510439935,-0.93,3.91695,10.25805,-3.33247,4.39602,-17.26895
yogesh ,21,1771510439947,-1.38795,3.63495,9.70005,-2.11923,-4.38814,-7.87817
yogesh ,22,1771510439959,-1.428,4.18995,8.98695,-6.50737,-11.51788,-0.19695
yogesh ,23,1771510439969,-1.428,4.18995,8.98695,-12.60507,-17.12714,6.32617
yogesh ,24,1771510439979,-0.01305,4.64295,9.78405,-20.16811,-23.22484,7.90968
yogesh ,25,1771510439992,-0.01305,4.64295,9.78405,-30.47276,-30.23641,5.83772
yogesh ,26,1771510440002,0.78,4.272,11.793,-32.23747,-35.66447,2.6707
yogesh ,27,1771510440012,0.78,4.272,11.793,-28.88137,-38.59515,1.69381
yogesh ,28,1771510440022,0.354,3.37605,14.091,-19.92389,-37.49221,2.60767
