ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771424748665,-0.642,0.312,11.05095,-0.59086,-1.45746,-10.6828
yogesh ,2,1771424748676,-0.642,0.312,11.05095,0.81145,2.74948,-10.92702
yogesh ,3,1771424748688,0.13005,-0.018,10.78695,-0.04727,2.81251,-11.04519
yogesh ,4,1771424748699,0.13005,-0.018,10.78695,0.323,2.50526,-10.37555
yogesh ,5,1771424748710,-0.075,-0.13995,9.408,-0.22847,1.77259,-10.31252
yogesh ,6,1771424748721,-0.075,-0.13995,9.408,-0.22847,0.97689,-10.92702
yogesh ,7,1771424748732,0.738,-0.09,9.39405,0.56723,1.16597,-11.22639
yogesh ,8,1771424748743,-0.231,-0.171,9.26205,1.41807,3.90757,-11.71484
yogesh ,9,1771424748754,-0.231,-0.171,9.26205,0.44118,-2.98583,-12.14026
yogesh ,10,1771424748765,-0.195,0.05295,10.23705,0.74843,0.7957,-11.84089
yogesh ,11,1771424748781,-0.195,0.05295,10.23705,0.323,-2.85978,-12.20328
yogesh ,12,1771424748790,0.24,-0.03495,9.078,-0.71691,-5.30201,-12.51053
yogesh ,13,1771424748801,0.24,-0.03495,9.078,-0.22847,-4.38814,-12.81778
yogesh ,14,1771424748810,-0.561,0.189,10.62705,0.25998,-0.11817,-12.75476
yogesh ,15,1771424748822,-0.561,0.189,10.62705,-0.11029,-5.23898,-12.57356
yogesh ,16,1771424748836,-0.08505,0.699,9.80805,-1.875,-0.3624,-11.35244
yogesh ,17,1771424748845,0.47895,0.786,8.53005,-2.30043,-1.70168,-12.26631
yogesh ,18,1771424748857,0.47895,0.786,8.53005,-3.21429,-2.3083,-12.32934
yogesh ,19,1771424748867,0.345,0.19395,8.69205,-2.60767,-0.23635,-12.38448
yogesh ,20,1771424748877,0.345,0.19395,8.69205,-3.21429,-1.27626,-11.65969
yogesh ,21,1771424748891,0.432,1.08,9.55695,-1.93803,-0.48057,-9.82408
yogesh ,22,1771424748901,0.432,1.08,9.55695,1.23687,2.19801,-9.33563
yogesh ,23,1771424748913,-0.681,-0.28395,9.15495,2.51314,-1.03204,-10.13133
yogesh ,24,1771424748924,0.24495,0.21105,9.41805,1.11082,-2.79675,-10.73795
yogesh ,25,1771424748935,0.24495,0.21105,9.41805,1.0478,-1.76471,-10.0683
yogesh ,26,1771424748946,-0.37695,-0.31995,10.32105,1.23687,0.06303,-10.0683
yogesh ,27,1771424748957,-0.37695,-0.31995,10.32105,2.15074,-1.58351,-10.01315
yogesh ,28,1771424748967,-0.32895,-0.363,10.15305,0.323,-3.23005,-10.864
yogesh ,29,1771424748979,-0.32895,-0.363,10.15305,-1.44958,-2.37133,-11.10822
yogesh ,30,1771424748989,0.228,0.465,9.56595,-3.27732,-2.25316,-11.35244
yogesh ,31,1771424749000,0.228,0.465,9.56595,-2.8519,-0.3624,-11.41547
yogesh ,32,1771424749012,-0.60405,0.83805,10.977,-2.36345,1.03992,-12.57356
