ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771426528551,1.35105,2.028,10.12395,-8.09876,-23.44543,-16.10298
yogesh ,2,1771426528556,1.35105,2.028,10.12395,-9.312,-18.14342,-18.36401
yogesh ,3,1771426528565,1.083,2.13105,9.921,-10.17072,-13.26684,-20.12872
yogesh ,4,1771426528577,1.083,2.13105,9.921,-9.43805,-2.53677,-23.79207
yogesh ,5,1771426528588,0.12495,1.82205,10.27005,-6.08195,0.39391,-25.00531
yogesh ,6,1771426528599,0.12495,1.82205,10.27005,-0.96114,0.33088,-24.39869
yogesh ,7,1771426528610,-0.85605,1.75005,10.57695,5.49896,-0.82721,-21.77526
yogesh ,8,1771426528621,-1.08495,1.78905,10.596,15.80361,-3.50579,-15.31516
yogesh ,9,1771426528632,-1.08495,1.78905,10.596,22.09039,-4.48268,-11.22639
yogesh ,10,1771426528643,-0.597,1.806,10.03305,27.57359,-6.01104,-9.28048
yogesh ,11,1771426528657,-0.597,1.806,10.03305,31.47329,-9.48532,-8.84718
yogesh ,12,1771426528667,-0.32595,2.03505,9.27195,33.73432,-14.60613,-8.54781
yogesh ,13,1771426528677,-0.32595,2.03505,9.27195,32.26898,-15.21275,-7.3267
yogesh ,14,1771426528689,-0.372,2.157,8.74005,28.61351,-13.57409,-5.06566
yogesh ,15,1771426528701,-0.372,2.157,8.74005,23.61087,-10.28101,-2.69433
yogesh ,16,1771426528712,-0.255,2.157,8.661,15.68544,-4.36451,-0.18908
yogesh ,17,1771426528723,-0.01995,2.253,8.87205,11.47849,-2.47375,-0.00788
yogesh ,18,1771426528734,-0.01995,2.253,8.87205,8.30359,-1.9853,-0.92175
yogesh ,19,1771426528743,0.192,2.22705,9.25695,6.41283,-1.74108,-2.74948
yogesh ,20,1771426528753,0.192,2.22705,9.25695,5.38079,-1.67805,-4.94749
yogesh ,21,1771426528765,0.19695,2.26005,9.471,5.07354,-1.9853,-7.26367
yogesh ,22,1771426528775,0.19695,2.26005,9.471,5.19959,-4.36451,-8.91021
yogesh ,23,1771426528790,-0.15195,2.466,9.63105,5.01052,-5.70379,-7.93332
yogesh ,24,1771426528802,-0.12105,2.47395,9.84405,4.4039,-4.85295,-5.12869
yogesh ,25,1771426528809,-0.12105,2.47395,9.84405,4.46692,-4.5457,-4.76629
yogesh ,26,1771426528823,0.309,2.454,9.78195,5.80621,-4.23846,-6.28678
yogesh ,27,1771426528834,0.309,2.454,9.78195,7.09035,-3.26156,-8.24057
yogesh ,28,1771426528844,0.42705,2.61195,9.82305,8.49267,-1.74108,-9.82408
yogesh ,29,1771426528856,0.42705,2.61195,9.82305,10.07618,-0.21271,-10.49372
yogesh ,30,1771426528868,0.17295,2.73705,9.72195,12.21116,1.97742,-9.95013
yogesh ,31,1771426528878,0.17295,2.73705,9.72195,12.69961,2.83614,-9.33563
yogesh ,32,1771426528889,-0.18,2.79195,9.564,13.2432,4.04938,-7.63395
yogesh ,33,1771426528898,-0.18,2.79195,9.564,13.55045,3.01734,-4.09665
yogesh ,34,1771426528911,-0.28095,2.979,9.31995,13.12503,1.00053,-1.22899
yogesh ,35,1771426528924,0.07695,3.02895,9.28095,11.59667,-0.40179,2.12711
yogesh ,36,1771426528934,0.07695,3.02895,9.28095,10.1392,0.45693,3.46639
yogesh ,37,1771426528943,0.417,2.93805,9.279,8.91809,1.3708,3.59245
yogesh ,38,1771426528956,0.417,2.93805,9.279,8.18542,0.57511,2.79675
yogesh ,39,1771426528967,0.56295,3.039,9.07095,7.57092,-2.04832,1.63866
yogesh ,40,1771426528979,0.56295,3.039,9.07095,6.9643,-2.04832,2.00106
yogesh ,41,1771426528990,0.49095,3.15105,9.08295,5.98741,0.33088,3.64759
yogesh ,42,1771426529000,0.49095,3.15105,9.08295,4.89234,4.17543,5.96377
yogesh ,43,1771426529012,0.47895,2.97405,9.31995,4.64812,7.4685,8.5872
yogesh ,44,1771426529023,0.597,2.93295,9.588,5.38079,7.6497,9.44593
yogesh ,45,1771426529033,0.597,2.93295,9.588,6.7831,7.34245,9.69015
yogesh ,46,1771426529045,0.642,2.92605,9.672,8.30359,7.22428,9.69015
yogesh ,47,1771426529056,0.642,2.92605,9.672,9.65076,7.95695,9.93437
yogesh ,48,1771426529065,0.369,2.86095,9.79905,10.25738,9.47744,10.84824
yogesh ,49,1771426529079,0.369,2.86095,9.79905,9.89498,12.16389,13.40864
yogesh ,50,1771426529090,0.159,2.847,9.909,8.91809,12.16389,14.74793
yogesh ,51,1771426529100,0.159,2.847,9.909,8.00422,10.45433,15.23638
yogesh ,52,1771426529112,0.372,2.916,9.90405,6.7831,5.87711,13.70802
yogesh ,53,1771426529124,0.45495,2.94795,9.705,6.23163,1.12658,11.81725
yogesh ,54,1771426529133,0.45495,2.94795,9.705,5.93226,-4.42753,9.01263
yogesh ,55,1771426529143,0.62505,3.165,9.45405,5.98741,-9.48532,5.90863
yogesh ,56,1771426529157,0.62505,3.165,9.45405,5.25474,-16.00844,3.15915
yogesh ,57,1771426529168,0.501,3.36195,8.994,2.69433,-18.14342,3.40337
yogesh ,58,1771426529178,0.501,3.36195,8.994,-1.51261,-17.16653,3.77364
yogesh ,59,1771426529188,0.88395,3.42195,8.86695,-5.71955,-14.29888,3.22217
yogesh ,60,1771426529199,0.88395,3.42195,8.86695,-8.64235,-11.4391,1.26839
yogesh ,61,1771426529209,1.236,3.45495,9.30495,-9.37502,-9.30412,-1.22899
yogesh ,62,1771426529221,1.02795,3.333,9.897,-7.85453,-4.36451,-3.85242
yogesh ,63,1771426529233,1.02795,3.333,9.897,-6.63342,-0.09454,-4.27785
yogesh ,64,1771426529245,0.91995,3.177,9.94905,-5.78258,3.31671,-4.45904
yogesh ,65,1771426529257,0.91995,3.177,9.94905,-5.47533,5.45169,-5.19171
yogesh ,66,1771426529267,0.903,3.13395,9.94905,-5.90075,6.36556,-6.531
yogesh ,67,1771426529278,0.903,3.13395,9.94905,-6.26314,6.79886,-7.08247
yogesh ,68,1771426529290,0.78105,2.92095,10.16205,-6.45222,7.4685,-7.68909
yogesh ,69,1771426529300,0.78105,2.92095,10.16205,-6.208,7.34245,-9.33563
yogesh ,70,1771426529309,0.75705,2.66295,10.431,-4.56146,5.69592,-11.71484
yogesh ,71,1771426529321,0.64695,2.541,10.455,1.11082,-0.51996,-16.29206
yogesh ,72,1771426529333,0.64695,2.541,10.455,6.05043,-5.76682,-20.12872
yogesh ,73,1771426529344,0.645,2.58795,10.074,10.43857,-8.32722,-23.54785
yogesh ,74,1771426529354,0.645,2.58795,10.074,13.66862,-7.83878,-25.80101
yogesh ,75,1771426529364,0.39795,2.80395,9.53505,15.62241,-5.70379,-27.02212
yogesh ,76,1771426529374,0.39795,2.80395,9.53505,16.53628,-3.26156,-27.08515
yogesh ,77,1771426529384,0.01005,2.976,9.16695,16.84353,-0.27574,-25.06834
yogesh ,78,1771426529396,0.01005,2.976,9.16695,16.53628,0.81933,-22.57096
yogesh ,79,1771426529410,-0.20205,3.10605,8.83095,15.50424,1.24475,-19.7033
yogesh ,80,1771426529424,-0.00795,3.15795,8.57505,12.21116,0.88235,-16.04783
yogesh ,81,1771426529433,-0.00795,3.15795,8.57505,9.95013,-0.40179,-14.64552
yogesh ,82,1771426529443,0.26895,3.276,8.709,7.99634,-1.8041,-13.6056
yogesh ,83,1771426529455,0.26895,3.276,8.709,6.47586,-2.41072,-12.56568
yogesh ,84,1771426529468,0.33795,3.24705,8.86005,4.4039,-1.37868,-10.49372
yogesh ,85,1771426529476,0.33795,3.24705,8.86005,3.67123,-0.70904,-9.76105
yogesh ,86,1771426529488,0.444,3.18195,9.07095,1.89864,1.60715,-7.75212
yogesh ,87,1771426529501,0.444,3.18195,9.07095,1.29202,2.15862,-6.531
yogesh ,88,1771426529511,0.47505,3.22095,9.28095,0.49632,2.40284,-4.88447
yogesh ,89,1771426529523,0.47505,3.22095,9.28095,-0.48057,3.25368,-3.3561
yogesh ,90,1771426529534,0.52695,3.00705,9.48,-1.93803,4.16755,-2.62343
yogesh ,91,1771426529545,0.72405,2.952,9.672,-2.97795,4.23058,-3.66335
yogesh ,92,1771426529555,0.72405,2.952,9.672,-3.89182,3.37973,-4.70327
yogesh ,93,1771426529568,0.432,2.85195,9.978,-5.71955,2.46587,-4.88447
yogesh ,94,1771426529578,0.432,2.85195,9.978,-6.94067,1.60715,-4.26997
yogesh ,95,1771426529588,0.14205,2.655,10.332,-7.18489,-0.76418,-4.08877
yogesh ,96,1771426529601,0.14205,2.655,10.332,-5.8456,-4.979,-5.12869
yogesh ,97,1771426529611,0.20595,2.493,10.476,-2.97795,-10.46221,-7.31882
yogesh ,98,1771426529621,0.20595,2.493,10.476,0.62238,-14.9764,-10.55675
yogesh ,99,1771426529633,0.57495,2.54805,10.21305,5.12869,-16.62294,-16.65445
yogesh ,100,1771426529644,0.56295,2.72505,9.669,7.45275,-15.28365,-21.22379
yogesh ,101,1771426529656,0.56295,2.72505,9.669,9.15443,-12.35297,-24.76109
yogesh ,102,1771426529667,-0.01005,2.859,9.34395,11.59667,-6.92491,-26.77002
yogesh ,103,1771426529678,-0.01005,2.859,9.34395,13.2432,-4.12028,-26.89607
yogesh ,104,1771426529689,-0.36195,2.859,9.00105,15.25214,-3.20641,-27.20332
yogesh ,105,1771426529700,-0.36195,2.859,9.00105,18.05676,-4.12028,-28.11719
yogesh ,106,1771426529711,-0.348,3.01005,8.59005,21.72011,-6.62554,-29.81887
yogesh ,107,1771426529724,-0.3,3.45795,7.84995,25.86403,-9.97376,-31.46541
yogesh ,108,1771426529734,-0.3,3.45795,7.84995,25.61981,-8.94172,-30.61457
yogesh ,109,1771426529745,-0.393,3.762,7.17,22.32673,-4.60873,-27.99114
yogesh ,110,1771426529756,-0.393,3.762,7.17,16.89867,1.06355,-24.27264
yogesh ,111,1771426529767,-0.43905,3.819,7.33995,9.09929,9.05202,-18.48219
yogesh ,112,1771426529778,-0.43905,3.819,7.33995,6.28678,11.48637,-15.73271
yogesh ,113,1771426529788,-0.36,3.43095,8.20905,6.05043,12.34509,-13.96799
yogesh ,114,1771426529799,-0.36,3.43095,8.20905,8.17754,11.85664,-13.1723
yogesh ,115,1771426529811,0.00495,3.33105,8.84295,11.77786,9.96588,-13.41652
yogesh ,116,1771426529822,0.18705,3.58005,8.75895,15.67756,7.58668,-13.29835
yogesh ,117,1771426529833,0.18705,3.58005,8.75895,14.88974,7.52365,-11.83301
yogesh ,118,1771426529843,0.03195,3.80505,8.24205,11.22639,7.76788,-9.39078
yogesh ,119,1771426529856,0.03195,3.80505,8.24205,5.07354,8.31935,-6.77523
yogesh ,120,1771426529866,0.02895,3.86205,8.54205,-2.00106,9.05202,-4.21482
yogesh ,121,1771426529874,0.02895,3.86205,8.54205,-7.67334,8.68174,-2.13498
yogesh ,122,1771426529885,0.02895,3.89295,9.645,-12.3057,7.52365,-0.06303
yogesh ,123,1771426529896,0.02895,3.89295,9.645,-14.62188,8.25632,1.33929
yogesh ,124,1771426529907,-0.159,3.75705,10.30095,-17.73376,9.65864,2.7416
yogesh ,125,1771426529918,-0.159,3.75705,10.30095,-20.84564,10.32828,4.08089
yogesh ,126,1771426529933,-0.33105,3.72105,11.03895,-21.33408,5.38867,5.36503
yogesh ,127,1771426529941,-0.33105,3.72105,11.03895,-19.93177,2.04045,5.54623
yogesh ,128,1771426529952,-0.50595,3.56505,11.64495,-12.85717,-8.81567,4.99476
yogesh ,129,1771426529964,-0.21195,3.43605,10.95,-8.52418,-14.91337,3.47427
yogesh ,130,1771426529976,-0.21195,3.43605,10.95,-5.42018,-19.42757,0.60662
yogesh ,131,1771426529987,0.31905,3.59205,9.96105,-0.11029,-25.09985,-6.22375
yogesh ,132,1771426530000,0.31905,3.59205,9.96105,5.31776,-28.26687,-10.80097
yogesh ,133,1771426530011,0.41205,3.807,9.36,15.07094,-29.55102,-15.30728
yogesh ,134,1771426530024,0.3,4.185,8.343,19.15971,-26.01372,-16.03995
yogesh ,135,1771426530033,0.3,4.185,8.343,19.03366,-18.08828,-14.63764
yogesh ,136,1771426530042,0.21405,4.518,7.43595,14.58249,-7.10611,-11.40759
yogesh ,137,1771426530055,0.21405,4.518,7.43595,7.20853,4.41178,-7.26367
yogesh ,138,1771426530067,0.03405,4.66905,7.725,-0.77994,13.31411,-2.74948
yogesh ,139,1771426530092,-0.36495,4.08705,8.88195,-15.6618,20.3887,8.35086
yogesh ,140,1771426530115,-0.28305,3.534,9.906,-21.9407,9.59561,14.87398
yogesh ,141,1771426530137,0.15405,3.34995,10.78995,-19.80572,-7.59456,15.96905
yogesh ,142,1771426530159,0.38595,3.393,10.821,-31.7569,-2.84402,21.64133
yogesh ,143,1771426530182,0.29295,2.823,10.929,-45.48067,10.5725,26.82517
yogesh ,144,1771426530203,0.09405,2.26305,12.186,-41.5731,7.76788,29.51162
yogesh ,145,1771426530226,-0.132,0.98205,11.92695,-28.95227,-2.29255,32.009
yogesh ,146,1771426530249,1.06095,1.10595,10.56705,-17.06412,-4.00211,19.56937
yogesh ,147,1771426530270,1.50705,1.46295,8.30205,4.88447,-24.7926,-19.8845
yogesh ,148,1771426530293,0.606,1.81005,6.52095,27.99902,-36.86196,-43.47962
yogesh ,149,1771426530315,-0.3,2.301,5.90295,36.90135,-22.051,-35.73538
yogesh ,150,1771426530337,-0.666,3.204,6.11595,36.10565,3.49791,-17.37924
yogesh ,151,1771426530359,-0.513,3.69,6.00405,26.35248,15.63817,-2.93068
yogesh ,152,1771426530381,0.22995,4.04895,6.39405,14.46432,18.80519,2.25316
yogesh ,153,1771426530403,0.36195,4.18305,6.756,-13.34562,28.19597,16.82777
yogesh ,154,1771426530425,0.54195,3.00495,9.70305,-36.82256,35.27057,31.70176
