ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Lalit,1,1771342382430,-0.84336,6.05134,7.60638,0.55695,-16.22008,4.60052
Lalit,2,1771342382438,-0.84336,6.05134,7.60638,-0.72479,-10.54381,2.58636
Lalit,3,1771342382442,-0.47824,5.67067,6.65588,-2.61688,-5.17273,0.63324
Lalit,4,1771342382451,-0.47824,5.67067,6.65588,-6.52313,1.96838,-2.17438
Lalit,5,1771342382459,-0.47824,5.67067,6.65588,-7.6828,3.12805,-3.15094
Lalit,6,1771342382468,-0.96546,5.58328,7.46991,-7.56072,0.93079,-4.92096
Lalit,7,1771342382477,-0.96546,5.58328,7.46991,-6.09588,-2.60925,-6.62994
Lalit,8,1771342382485,-1.09714,5.85981,7.99903,-5.6076,-4.01306,-6.93511
Lalit,9,1771342382493,-1.09714,5.85981,7.99903,-6.70623,-5.17273,-5.65338
Lalit,10,1771342382501,-1.09714,5.85981,7.99903,-10.85662,-4.19616,-2.96783
Lalit,11,1771342382509,-1.6526,5.90051,7.85418,-13.42009,-4.37927,-0.95367
Lalit,12,1771342382518,-1.6526,5.90051,7.85418,-17.32634,-8.71276,3.31878
Lalit,13,1771342382526,-2.44747,5.6168,8.36654,-17.38738,-14.81627,5.76019
Lalit,14,1771342382535,-2.44747,5.6168,8.36654,-16.53289,-17.44078,5.82122
Lalit,15,1771342382543,-1.61309,6.00107,8.72088,-14.88494,-19.63805,3.56292
Lalit,16,1771342382551,-1.61309,6.00107,8.72088,-15.31218,-16.40319,1.18256
Lalit,17,1771342382559,-1.61309,6.00107,8.72088,-15.98357,-13.41247,0.99945
Lalit,18,1771342382568,-1.28988,5.93523,8.5904,-16.65495,-7.79724,2.28119
Lalit,19,1771342382579,-1.28988,5.93523,8.5904,-16.22771,-5.41687,3.13568
Lalit,20,1771342382585,-1.73759,5.4504,9.96586,-13.78631,-4.37927,4.35638
Lalit,21,1771342382593,-1.73759,5.4504,9.96586,-4.63104,-6.33239,9.54437
Lalit,22,1771342382601,-1.73759,5.4504,9.96586,4.52423,-14.14489,12.65716
Lalit,23,1771342382610,-1.97941,5.02184,10.76672,8.67461,-18.72252,13.75579
Lalit,24,1771342382619,-1.97941,5.02184,10.76672,15.44951,-25.49742,14.3051
Lalit,25,1771342382626,-0.79547,4.63398,9.64983,20.14922,-26.22984,12.10784
Lalit,26,1771342382636,-0.79547,4.63398,9.64983,21.24785,-25.92466,10.643
Lalit,27,1771342382644,-0.07721,4.85065,8.13191,21.61406,-22.44566,7.83538
Lalit,28,1771342382654,-0.07721,4.85065,8.13191,21.98027,-14.32799,5.45501
Lalit,29,1771342382659,-0.07721,4.85065,8.13191,22.28545,-9.75036,4.35638
Lalit,30,1771342382668,-0.49021,5.12359,7.39808,23.62822,-1.44958,3.19671
Lalit,31,1771342382677,-0.49021,5.12359,7.39808,24.05546,2.88391,5.21087
Lalit,32,1771342382686,-1.36769,4.94403,7.70215,23.50615,3.25012,6.43157
Lalit,33,1771342382694,-1.36769,4.94403,7.70215,21.67509,0.50354,9.05608
Lalit,34,1771342382702,-1.36769,4.94403,7.70215,20.14922,-0.90027,10.09368
Lalit,35,1771342382710,-1.29706,5.23373,7.73447,16.73125,-6.21032,10.33782
Lalit,36,1771342382719,-1.29706,5.23373,7.73447,13.67949,-11.33727,10.27679
Lalit,37,1771342382727,-1.35093,5.62278,7.41484,10.81084,-15.42662,11.00921
Lalit,38,1771342382736,-1.35093,5.62278,7.41484,9.59014,-16.70836,11.74163
Lalit,39,1771342382744,-1.65739,5.71616,7.27598,8.3084,-18.29527,13.38958
Lalit,40,1771342382753,-1.65739,5.71616,7.27598,7.75909,-20.18736,13.81682
Lalit,41,1771342382761,-1.65739,5.71616,7.27598,7.88116,-20.79771,13.51165
Lalit,42,1771342382769,-1.25157,5.89093,7.13472,8.79669,-21.89635,12.04681
Lalit,43,1771342382778,-1.25157,5.89093,7.13472,10.26153,-21.89635,8.75091
Lalit,44,1771342382786,-0.78949,6.08726,7.19577,10.99395,-20.91978,6.37054
Lalit,45,1771342382795,-0.78949,6.08726,7.19577,11.66534,-18.05113,2.40326
Lalit,46,1771342382802,-0.78949,6.08726,7.19577,12.15362,-15.79284,0.75531
Lalit,47,1771342382810,-0.74998,5.81911,7.69257,13.61846,-10.84899,-3.57818
Lalit,48,1771342382819,-0.74998,5.81911,7.69257,15.20537,-6.33239,-8.15582
Lalit,49,1771342382827,-1.51613,5.24809,8.32823,15.20537,-5.53894,-9.62066
Lalit,50,1771342382836,-1.51613,5.24809,8.32823,15.87676,-9.68932,-9.74273
Lalit,51,1771342382845,-1.78428,5.24689,8.88488,17.82988,-20.12633,-6.26373
Lalit,52,1771342382853,-1.78428,5.24689,8.88488,18.92851,-25.9857,-4.06646
Lalit,53,1771342382861,-1.78428,5.24689,8.88488,20.94267,-36.2396,0.14496
Lalit,54,1771342382869,-1.38684,5.45758,8.26239,21.8582,-42.83139,3.74603
Lalit,55,1771342382879,-1.38684,5.45758,8.26239,20.33232,-43.68588,5.21087
Lalit,56,1771342382886,-1.05884,5.61919,7.26401,19.05058,-42.40414,5.21087
Lalit,57,1771342382901,-1.05884,5.61919,7.26401,14.53399,-39.10825,4.9057
Lalit,58,1771342382906,-0.59915,5.87058,6.58166,7.39288,-34.65268,4.23431
Lalit,59,1771342382912,-0.59915,5.87058,6.58166,4.21905,-30.01402,4.53949
Lalit,60,1771342382918,-0.59915,5.87058,6.58166,-2.3117,-19.45494,6.55365
Lalit,61,1771342382927,-0.0832,6.23809,6.42963,-5.18036,-15.60973,8.99505
Lalit,62,1771342382937,-0.0832,6.23809,6.42963,-10.18523,-1.87683,14.3051
Lalit,63,1771342382945,-0.60154,6.23809,6.51343,-14.6408,11.30675,16.25823
Lalit,64,1771342382954,-0.60154,6.23809,6.51343,-17.14324,13.9923,15.46477
Lalit,65,1771342382962,-0.60154,6.23809,6.51343,-21.29362,8.98742,14.24407
Lalit,66,1771342382970,-1.50655,5.92804,7.40646,-22.02604,-8.83483,14.54924
Lalit,67,1771342382980,-1.50655,5.92804,7.40646,-25.32194,-22.75084,12.29095
Lalit,68,1771342382986,-1.71964,5.6168,7.73207,-28.43473,-25.9857,11.37542
Lalit,69,1771342382994,-1.71964,5.6168,7.73207,-34.72135,-31.78403,11.98577
Lalit,70,1771342383003,-1.71964,5.6168,7.73207,-36.24723,-36.36167,12.59612
Lalit,71,1771342383011,-0.71407,5.58807,7.8434,-34.2941,-41.36655,12.96233
Lalit,72,1771342383019,-0.71407,5.58807,7.8434,-27.45817,-42.03793,12.53509
Lalit,73,1771342383027,-0.29389,5.54138,7.83263,-22.8195,-40.81723,12.04681
Lalit,74,1771342383036,-0.29389,5.54138,7.83263,-13.48113,-36.2396,10.70403
Lalit,75,1771342383045,-0.29389,5.54138,7.83263,-3.22723,-31.53989,10.58196
Lalit,76,1771342383054,0.10714,5.15112,8.26119,1.47247,-28.97642,10.52093
Lalit,77,1771342383062,0.10714,5.15112,8.26119,10.50567,-24.70396,10.15472
Lalit,78,1771342383070,0.51415,4.89734,8.80348,14.53399,-22.93394,9.78851
Lalit,79,1771342383079,0.51415,4.89734,8.80348,20.75957,-21.10289,7.53021
Lalit,80,1771342383087,0.68414,4.74172,8.97706,24.05546,-22.14049,4.47845
Lalit,81,1771342383095,0.68414,4.74172,8.97706,24.1165,-24.09361,0.3891
Lalit,82,1771342383103,0.68414,4.74172,8.97706,22.8958,-23.91051,-2.23541
Lalit,83,1771342383112,0.43993,5.2445,8.72208,18.98955,-21.59117,-6.5689
Lalit,84,1771342383120,0.43993,5.2445,8.72208,15.63262,-20.30943,-7.6065
Lalit,85,1771342383127,0.12749,5.58208,8.84777,15.26641,-20.18736,-7.30133
Lalit,86,1771342383137,0.12749,5.58208,8.84777,17.03642,-21.71324,-6.50787
Lalit,87,1771342383146,0.10834,5.54377,9.22845,21.12578,-25.49742,-5.3482
Lalit,88,1771342383155,0.10834,5.54377,9.22845,23.50615,-28.61021,-4.61578
Lalit,89,1771342383162,0.10834,5.54377,9.22845,28.87724,-34.22544,-3.02887
Lalit,90,1771342383169,0.36452,5.59645,8.82622,31.50175,-37.39927,-2.96783
Lalit,91,1771342383179,0.36452,5.59645,8.82622,36.32352,-46.31039,-3.63922
Lalit,92,1771342383187,0.26755,5.67546,9.14465,42.97635,-54.8553,-1.80817
Lalit,93,1771342383195,0.26755,5.67546,9.14465,47.55398,-57.23567,-0.09918
Lalit,94,1771342383203,0.26755,5.67546,9.14465,58.96754,-58.21223,2.89154
Lalit,95,1771342383211,0.81822,5.37139,9.578,71.17457,-58.63948,3.8681
Lalit,96,1771342383220,0.81822,5.37139,9.578,76.24049,-60.34846,3.62396
Lalit,97,1771342383228,1.28269,5.43244,9.3302,83.44263,-64.9261,1.18256
Lalit,98,1771342383237,1.28269,5.43244,9.3302,87.2268,-68.71027,-2.54059
Lalit,99,1771342383245,1.28269,5.43244,9.3302,87.71509,-68.77131,-4.3106
Lalit,100,1771342383254,1.41078,5.80235,8.39168,85.76196,-64.743,-7.24029
Lalit,101,1771342383263,1.41078,5.80235,8.39168,82.34399,-55.46566,-10.9024
Lalit,102,1771342383270,1.79266,5.99269,8.00861,80.69604,-51.80355,-13.46587
Lalit,103,1771342383279,1.79266,5.99269,8.00861,79.17017,-49.36214,-18.0435
Lalit,104,1771342383286,1.79266,5.99269,8.00861,80.08569,-48.9349,-17.18901
Lalit,105,1771342383295,1.4862,5.99628,9.13388,80.63502,-49.17904,-14.13726
Lalit,106,1771342383303,1.4862,5.99628,9.13388,82.22192,-47.16488,-5.10406
Lalit,107,1771342383311,0.45909,5.52701,8.60835,82.34399,-45.57797,-0.95367
Lalit,108,1771342383320,0.45909,5.52701,8.60835,81.4895,-43.86899,5.45501
Lalit,109,1771342383329,0.7859,5.95677,7.19577,80.51294,-45.88314,8.99505
Lalit,110,1771342383337,0.7859,5.95677,7.19577,79.96363,-50.58285,10.39886
Lalit,111,1771342383346,0.7859,5.95677,7.19577,80.75708,-51.98666,10.33782
Lalit,112,1771342383354,1.55922,5.81312,6.87016,85.63989,-51.55941,8.99505
Lalit,113,1771342383363,1.55922,5.81312,6.87016,92.10961,-47.28695,6.61468
Lalit,114,1771342383371,1.75315,6.08247,7.00424,96.19897,-40.9393,4.35638
Lalit,115,1771342383379,1.75315,6.08247,7.00424,105.84251,-24.15464,0.08392
Lalit,116,1771342383387,1.75315,6.08247,7.00424,111.33567,-14.63317,-0.77057
Lalit,117,1771342383400,1.15939,6.41287,6.33865,117.92747,-1.9989,2.40326
Lalit,118,1771342383405,1.15939,6.41287,6.33865,115.24191,-3.95202,3.62396
Lalit,119,1771342383411,0.6195,6.74686,4.23774,110.72533,-7.7362,4.66156
Lalit,120,1771342383419,0.6195,6.74686,4.23774,102.11937,-21.77428,5.14984
Lalit,121,1771342383428,1.11869,7.85897,3.20105,95.95482,-38.92514,4.11224
Lalit,122,1771342383437,1.11869,7.85897,3.20105,94.42894,-46.4935,3.07464
Lalit,123,1771342383446,1.11869,7.85897,3.20105,99.12865,-69.01545,-3.15094
Lalit,124,1771342383455,2.77548,8.32703,4.73214,126.53341,-108.19999,-11.20757
Lalit,125,1771342383463,2.77548,8.32703,4.73214,164.61932,-141.7693,-16.8228
Lalit,126,1771342383470,3.19686,8.86214,6.65947,179.51189,-149.03249,-19.38628
Lalit,127,1771342383479,3.19686,8.86214,6.65947,196.66275,-149.45973,-20.91215
Lalit,128,1771342383487,3.19686,8.86214,6.65947,199.59244,-143.53932,-19.26421
Lalit,129,1771342383495,2.41874,8.40724,2.53546,196.29655,-124.80154,-13.64898
Lalit,130,1771342383504,2.41874,8.40724,2.53546,183.174,-108.32206,-9.74273
Lalit,131,1771342383512,2.25354,8.27915,-0.74939,173.89665,-102.58476,-9.43755
Lalit,132,1771342383521,2.25354,8.27915,-0.74939,152.5954,-96.48125,-12.06206
Lalit,133,1771342383529,1.64661,8.51258,-1.96444,130.62276,-98.3123,-15.11382
Lalit,134,1771342383538,1.64661,8.51258,-1.96444,112.00706,-104.41581,-15.66313
Lalit,135,1771342383546,1.64661,8.51258,-1.96444,104.86595,-108.13895,-15.90728
Lalit,136,1771342383555,0.90441,8.87052,-0.07422,96.13793,-113.44901,-18.34868
Lalit,137,1771342383563,0.90441,8.87052,-0.07422,94.48997,-114.9749,-20.42387
Lalit,138,1771342383572,1.74358,8.51139,2.68629,94.55102,-113.0828,-25.79496
